staff_id,first_name,last_name,email,phone,active,store_id,manager_id
1,Fabiola,Jackson,fabiola.jackson@bikes.shop,(831) 555-5554,True,1,0
2,Mireya,Copeland,mireya.copeland@bikes.shop,(831) 555-5555,True,1,1
3,Genna,Serrano,genna.serrano@bikes.shop,(831) 555-5556,True,1,2
4,Virgie,Wiggins,virgie.wiggins@bikes.shop,(831) 555-5557,True,1,2
5,Jannette,David,jannette.david@bikes.shop,(516) 379-4444,True,2,1
6,Marcelene,Boyer,marcelene.boyer@bikes.shop,(516) 379-4445,True,2,5
7,Venita,Daniel,venita.daniel@bikes.shop,(516) 379-4446,True,2,5
8,Kali,Vargas,kali.vargas@bikes.shop,(972) 530-5555,True,3,1
9,Layla,Terrell,layla.terrell@bikes.shop,(972) 530-5556,True,3,7
10,Bernardine,Houston,bernardine.houston@bikes.shop,(972) 530-5557,True,3,7
